status,updated,numRaters,averageRate,author,binding,pages,publisher,title,url,author_info,summary,price,isbn13,isbn10
read,2018-09-13T11:38:09Z,5,0.0,Mike Duncan,Hardcover,352,PublicAffairs,The Storm Before the Storm,https://book.douban.com/subject/27121073/,"Mike Duncan is one of the foremost history podcasters in the world. His award winning series The History of Rome chronologically narrated the entire history of the Roman Empire over 189 weekly episodes. Running from 2007-2012, The History of Rome has generated more than 56 million downloads and remains one of the most popular history podcasts on the internet. Duncan has continued this success with his ongoing series Revolutions--which so far has explored the English, American, French, and Haitian Revolutions. Since debuting in September 2013, Revolutions has generated more than 12 million downloads. Thanks to the worldwide popularity of his podcasts, Duncan has led fans on a number of sold-out guided tours of Italy, England, and France to visit historic sites from Ancient Rome to the French Revolution. Duncan also collaborates with illustrator Jason Novak on informative cartoons that humorously explain the historical context for current events. Their work has been featured in the New Yorker, Paris Review, Awl, and Morning News.","The creator of the massively popular, award-winning podcast series The History of Rome brings to life the story of the tumultuous years that set the stage for the fall of the Roman Republic.
The Roman Republic was one of the most remarkable achievements in the history of civilization. After its founding in 509 BCE, the Romans refused to allow a single leader to seize control of the state and grab absolute power. The Roman commitment to cooperative government and peaceful transfers of power was unmatched in the history of the ancient world.
But by the year 133 BCE, the republican system was unable to cope with the vast empire Rome now ruled. Almost as soon as they had conquered the Mediterranean, Rome became engulfed in violent political conflicts and civil wars that would destroy the Republic less than a century later.
Chronicling the years 133-80 BCE, The Storm Before the Storm is a rollicking deep-dive into the bloody battles, political machinations, and human drama that defined a dangerous new political environment--a stark warning for modern readers about what happens to a civilization driven by increasing economic inequality, political polarization, and ruthless ambition.",USD 27.00,9781610397216,1610397215
reading,2018-09-10T10:21:28Z,0,0.0,Stephen R. Platt,Hardcover,NA,,Imperial Twilight,https://book.douban.com/subject/27072297/,,"When Britain declared war on China in 1839, it sealed the fate of what had been, for centuries, the wealthiest and most powerful empire in the world. But local corruption, popular uprisings, and dwindling finances had left the country much weaker than was commonly understood and the war set in motion the fall of the Qing dynasty which, in turn, would lead to the rise of nationalism and communism in the twentieth century. Imperial Twilight is the dramatic, epic story of the decades leading up to the war. Award-winning historian Stephen Platt recounts the first efforts by the British government to ""open"" China to trade--Western missionaries and traders venturing to the still mysterious empire while the Chinese emperor and officials struggled to manage their country's decline--and makes clear how the profits from opium ultimately lead to the war. Given the growing uncertainty in current relations between China and the West, the riveting history recounted in Imperial Twilight has important implications for the world today.",USD 95.00,9780525588795,0525588795
read,2018-09-10T10:08:44Z,46,8.5,Stephen Greenblatt,Hardcover,368,W. W. Norton & Company,The Swerve,https://book.douban.com/subject/6080667/,,"Winner of the 2012 Pulitzer Prize for Non-Fiction
 Winner of the 2011 National Book Award for Non-Fiction  One of the world's most celebrated scholars, Stephen Greenblatt has crafted both an innovative work of history and a thrilling story of discovery, in which one manuscript, plucked from a thousand years of neglect, changed the course of human thought and made possible the world as we know it. 

 Nearly six hundred years ago, a short, genial, cannily alert man in his late thirties took a very old manuscript off a library shelf, saw with excitement what he had discovered, and ordered that it be copied. That book was the last surviving manuscript of an ancient Roman philosophical epic,  On the Nature of Things , by Lucretius—a beautiful poem of the most dangerous ideas: that the universe functioned without the aid of gods, that religious fear was damaging to human life, and that matter was made up of very small particles in eternal motion, colliding and swerving in new directions.  

 The copying and translation of this ancient book-the greatest discovery of the greatest book-hunter of his age-fueled the Renaissance, inspiring artists such as Botticelli and thinkers such as Giordano Bruno; shaped the thought of Galileo and Freud, Darwin and Einstein; and had a revolutionary influence on writers such as Montaigne and Shakespeare and even Thomas Jefferson. 16 pages full-color illustrations",USD 26.95,9780393064476,0393064476
read,2018-09-09T04:22:16Z,60,8.3,Min Jin Lee,Hardcover,496,Grand Central Publishing,Pachinko,https://book.douban.com/subject/26950218/,,"Pachinko follows one Korean family through the generations, beginning in early 1900s Korea with Sunja, the prized daughter of a poor yet proud family, whose unplanned pregnancy threatens to shame them all. Deserted by her lover, Sunja is saved when a young tubercular minister offers to marry and bring her to Japan.
So begins a sweeping saga of an exceptional family in exile from its homeland and caught in the indifferent arc of history. Through desperate struggles and hard-won triumphs, its members are bound together by deep roots as they face enduring questions of faith, family, and identity.",USD 27.00,9781455563937,1455563935
reading,2018-09-07T19:56:31Z,393,8.3,李硕,平装,456,世纪文景 /上海人民出版社,南北战争三百年,https://book.douban.com/subject/28135034/,李硕，河北保定人。北京大学中文系本科，清华大学历史系硕士、博士，现供职于新疆大学西北少数民族研究中心。从事中古军事史、历史地理、边疆民族问题研究。著有《铁马楼船北府兵》《从大漠绿洲到玉石山谷：南新疆探索图文志》等，在《中华文史论丛》《学术月刊》《历史地理》《敦煌研究》等刊物发表学术论文多篇。,"冷兵器战争究竟怎么打？
写兵种、战术之细节 补正史、古籍之缺失
揭六朝更迭种种真相 述血与剑的纷争乱世
我们通常对古代战争的想象都源自演义、小说等文学作品，但这些作品中的战争场面都不过是小说家的幻想与虚构而已，并不是真实状况。本书对各种史料进行分析与整理，从散落史书各处的战争叙述中寻找线索，借助最新的史学研究成果，为我们描绘出了魏晋南北朝各场重大战役细节，展现出丰富、生动 的历史原貌。同时，本书对骑兵和步兵的作战模式和战术演变做了详细的论述，对战争中如地理、季节、财政等因素对战事所产生的影响进行了具体的讨论。由此，本书也补充了正史、古籍所未详述之处，通过一部军事史的写作，对魏晋南北朝历史进程做出了新的诠释。",59.00元,9787208148314,7208148317
reading,2018-09-07T10:02:13Z,32,8.9,施耐庵; 罗贯中,精装,1232,中央编译出版社,水浒传（校注本）,https://book.douban.com/subject/26304869/,"冀勤，原名冀旭天，笔名季晴、季静等，女，山东青州人。九三学社成员，1956年毕业于上海复旦大学中国语言文学系。后一直研究中国古典文学。
编纂、校注作品有《元稹集》、《朱淑真集注》等。","《水浒传》是我国明代白话长篇小说的一部杰作，全书以北宋宣和年间宋江率众造反起义的历史事件为素材，并广泛吸收了宋、元间街谈巷议和说书人、杂剧表演依据的“梁山泊故事”，最后由施耐庵编写成书的。
本书以明朝容与堂刻本为底本，同时参酌天都外臣序本、杨定见序本、芥子园刻本、贯华堂本等重要版本，在广泛吸收历代校订者成就的基础上最大限度地保留了这一古典名著的原始风貌。注释方面较多关注生僻的词语、不常见的典故等，关系到读者对作品理解的，加以注释；相同词语在首次出现时加详注；重复出现时意思有变化者加注，十分便利当今读者的阅读。",280.00,9787511721235,7511721230
reading,2018-09-03T02:33:34Z,42,8.3,Steven Pinker,Hardcover,576,Viking,Enlightenment Now,https://book.douban.com/subject/27088915/,"Steven Pinker is the Harvard College Professor of Psychology at Harvard University. A two-time Pulitzer Prize finalist and the winner of many awards for his research, teaching, and books, he has been named one of Time‘s 100 Most Influential People and one of Foreign Policy‘s 100 Leading Global Thinkers. His books include The Stuff of Thought, The Better Angels of Our Nature, The Blank Slate, and The Sense of Style.","The follow-up to Pinker’s groundbreaking The Better Angels of Our Nature presents the big picture of human progress: people are living longer, healthier, freer, and happier lives, and while our problems are formidable, the solutions lie in the Enlightenment ideal of using reason and science.
Is the world really falling apart? Is the ideal of progress obsolete? In this elegant assessment of the human condition in the third millennium, cognitive scientist and public intellectual Steven Pinker urges us to step back from the gory headlines and prophecies of doom, which play to our psychological biases. Instead, follow the data: In seventy-five jaw-dropping graphs, Pinker shows that life, health, prosperity, safety, peace, knowledge, and happiness are on the rise, not just in the West, but worldwide. This progress is not the result of some cosmic force. It is a gift of the Enlightenment: the conviction that reason and science can enhance human flourishing.
Far from being a naïve hope, the Enlightenment, we now know, has worked. But more than ever, it needs a vigorous defense. The Enlightenment project swims against currents of human nature–tribalism, authoritarianism, demonization, magical thinking–which demagogues are all too willing to exploit. Many commentators, committed to political, religious, or romantic ideologies, fight a rearguard action against it. The result is a corrosive fatalism and a willingness to wreck the precious institutions of liberal democracy and global cooperation.
With intellectual depth and literary flair, Enlightenment Now makes the case for reason, science, and humanism: the ideals we need to confront our problems and continue our progress.",USD 35.00,9780525427575,0525427570
reading,2018-09-01T20:12:26Z,40,8.6,Stephen R. Platt,Hardcover,512,Knopf,Autumn in the Heavenly Kingdom,https://book.douban.com/subject/6863250/,,,USD 30.00,9780307271730,0307271730
read,2018-08-31T16:57:39Z,66,8.9,John Carreyrou,Hardcover,352,Knopf,Bad Blood,https://book.douban.com/subject/30222786/,"John Carreyrou is a two-time Pulitzer Prize-winning investigative reporter at The Wall Street Journal. For his extensive coverage of Theranos, Carreyrou was awarded the George Polk Award for Financial Reporting, the Gerald Loeb Award for Distinguished Business and Financial Journalism in the category of beat reporting, and the Barlett & Steele Silver Award for Investigative Business Journalism. Carreyrou lives in Brooklyn with his wife and three children.","The full inside story of the breathtaking rise and shocking collapse of Theranos, the multibillion-dollar biotech startup, by the prize-winning journalist who first broke the story and pursued it to the end, despite pressure from its charismatic CEO and threats by her lawyers.
In 2014, Theranos founder and CEO Elizabeth Holmes was widely seen as the female Steve Jobs: a brilliant Stanford dropout whose startup ""unicorn"" promised to revolutionize the medical industry with a machine that would make blood testing significantly faster and easier. Backed by investors such as Larry Ellison and Tim Draper, Theranos sold shares in a fundraising round that valued the company at more than $9 billion, putting Holmes's worth at an estimated $4.7 billion. There was just one problem: The technology didn't work.
A riveting story of the biggest corporate fraud since Enron, a tale of ambition and hubris set amid the bold promises of Silicon Valley.",USD 27.95,9781524731656,152473165X
read,2018-08-26T19:36:53Z,1,0.0,Sandra Boynton,Board book,16,Little Simon,Hippos Go Berserk,https://book.douban.com/subject/2600520/,,"Here is the classic Boynton counting story in a sturdy, board book version. Perfect for travel time, bedtime, or   PARTY TIME!",USD 7.99,9780689834349,0689834349
